participant_id,paper_order,paper_position,field_type,attempt_score,position,question_target,question_type,first_interaction_ms,duration_ms,score,skipped,timed_out
YQAN,own,1,in_field,47.6,1,Planted error,multiple_choice,41540,52271,100,FALSE,FALSE
YQAN,own,1,in_field,47.6,2,Planted error,multiple_choice,39202,42793,100,FALSE,FALSE
YQAN,own,1,in_field,47.6,3,Unstated rationale,free_response,301861,507260,36,FALSE,FALSE
YQAN,own,1,in_field,47.6,4,Background knowledge,free_response,9007,144340,100,FALSE,FALSE
YQAN,own,1,in_field,47.6,5,Background knowledge,free_response,22218,148913,45,FALSE,FALSE
YQAN,own,1,in_field,47.6,6,Failure mode,free_response,,2213,0,TRUE,FALSE
YQAN,own,1,in_field,47.6,7,Failure mode,free_response,,595,0,TRUE,FALSE
YQAN,own,1,in_field,47.6,8,Unstated rationale,free_response,,2072,0,FALSE,TRUE
YQAN,foreign,2,in_field,15,1,Planted error,multiple_choice,109110,139079,0,FALSE,FALSE
YQAN,foreign,2,in_field,15,2,Background knowledge,free_response,22740,319133,20,FALSE,FALSE
YQAN,foreign,2,in_field,15,3,Unstated rationale,free_response,,225566,0,TRUE,FALSE
YQAN,foreign,2,in_field,15,4,Failure mode,free_response,,48143,0,TRUE,FALSE
YQAN,foreign,2,in_field,15,5,Planted error,multiple_choice,74731,76392,100,FALSE,FALSE
YQAN,foreign,2,in_field,15,6,Unstated rationale,free_response,,44992,0,TRUE,FALSE
YQAN,foreign,2,in_field,15,7,Failure mode,free_response,,19821,0,TRUE,FALSE
YQAN,foreign,2,in_field,15,8,Background knowledge,free_response,,27542,0,FALSE,TRUE
WXP8,foreign,1,out_field,7.5,1,Unstated rationale,free_response,217666,262567,9,FALSE,FALSE
WXP8,foreign,1,out_field,7.5,2,Background knowledge,free_response,54050,341134,15,FALSE,FALSE
WXP8,foreign,1,out_field,7.5,3,Unstated rationale,free_response,107819,144731,36,FALSE,FALSE
WXP8,foreign,1,out_field,7.5,4,Failure mode,free_response,112161,151900,0,FALSE,FALSE
WXP8,foreign,1,out_field,7.5,5,Planted error,multiple_choice,,0,0,FALSE,TRUE
WXP8,foreign,1,out_field,7.5,6,Background knowledge,free_response,,0,0,FALSE,TRUE
WXP8,foreign,1,out_field,7.5,7,Planted error,multiple_choice,,0,0,FALSE,TRUE
WXP8,foreign,1,out_field,7.5,8,Failure mode,free_response,,0,0,FALSE,TRUE
WXP8,own,2,out_field,55.4,1,Background knowledge,free_response,10375,219793,95,FALSE,FALSE
WXP8,own,2,out_field,55.4,2,Unstated rationale,free_response,,290243,50,FALSE,FALSE
WXP8,own,2,out_field,55.4,3,Failure mode,free_response,11046,171034,73,FALSE,FALSE
WXP8,own,2,out_field,55.4,4,Unstated rationale,free_response,38958,128122,25,FALSE,FALSE
WXP8,own,2,out_field,55.4,5,Planted error,multiple_choice,42890,43808,100,FALSE,FALSE
WXP8,own,2,out_field,55.4,6,Planted error,multiple_choice,19585,20579,100,FALSE,FALSE
WXP8,own,2,out_field,55.4,7,Failure mode,free_response,19779,26780,0,FALSE,FALSE
WXP8,own,2,out_field,55.4,8,Background knowledge,free_response,,0,0,FALSE,TRUE
XS8W,foreign,1,in_field,33.1,1,Background knowledge,free_response,83554,440459,65,FALSE,FALSE
XS8W,foreign,1,in_field,33.1,2,Background knowledge,free_response,19144,206941,0,TRUE,FALSE
XS8W,foreign,1,in_field,33.1,3,Unstated rationale,free_response,9217,27365,0,FALSE,FALSE
XS8W,foreign,1,in_field,33.1,4,Unstated rationale,free_response,28180,105703,0,FALSE,FALSE
XS8W,foreign,1,in_field,33.1,5,Failure mode,free_response,,43580,0,TRUE,FALSE
XS8W,foreign,1,in_field,33.1,6,Failure mode,free_response,,19000,0,TRUE,FALSE
XS8W,foreign,1,in_field,33.1,7,Planted error,multiple_choice,32460,33511,100,FALSE,FALSE
XS8W,foreign,1,in_field,33.1,8,Planted error,multiple_choice,22701,23498,100,FALSE,FALSE
XS8W,own,2,in_field,60,1,Planted error,multiple_choice,23076,24113,100,FALSE,FALSE
XS8W,own,2,in_field,60,2,Unstated rationale,free_response,10943,132841,38,FALSE,FALSE
XS8W,own,2,in_field,60,3,Failure mode,free_response,58412,311166,25,FALSE,FALSE
XS8W,own,2,in_field,60,4,Planted error,multiple_choice,27012,72736,100,FALSE,FALSE
XS8W,own,2,in_field,60,5,Background knowledge,free_response,15256,154603,77,FALSE,FALSE
XS8W,own,2,in_field,60,6,Background knowledge,free_response,11672,122530,50,FALSE,FALSE
XS8W,own,2,in_field,60,7,Failure mode,free_response,10488,82733,90,FALSE,FALSE
XS8W,own,2,in_field,60,8,Unstated rationale,free_response,,0,0,FALSE,TRUE
WH2S,own,1,out_field,10.4,1,Failure mode,free_response,38587,312502,78,FALSE,FALSE
WH2S,own,1,out_field,10.4,2,Failure mode,free_response,49670,126684,0,FALSE,FALSE
WH2S,own,1,out_field,10.4,3,Background knowledge,free_response,25468,273084,5,FALSE,FALSE
WH2S,own,1,out_field,10.4,4,Planted error,multiple_choice,62769,63983,0,FALSE,FALSE
WH2S,own,1,out_field,10.4,5,Unstated rationale,free_response,47500,116671,0,FALSE,FALSE
WH2S,own,1,out_field,10.4,6,Background knowledge,free_response,,7325,0,FALSE,TRUE
WH2S,own,1,out_field,10.4,7,Unstated rationale,free_response,,0,0,FALSE,TRUE
WH2S,own,1,out_field,10.4,8,Planted error,multiple_choice,,0,0,FALSE,TRUE
WH2S,foreign,2,out_field,26,1,Unstated rationale,free_response,159166,172976,0,FALSE,FALSE
WH2S,foreign,2,out_field,26,2,Failure mode,free_response,11589,22046,0,FALSE,FALSE
WH2S,foreign,2,out_field,26,3,Planted error,multiple_choice,74246,75834,100,FALSE,FALSE
WH2S,foreign,2,out_field,26,4,Background knowledge,free_response,24651,79131,0,FALSE,FALSE
WH2S,foreign,2,out_field,26,5,Planted error,multiple_choice,20670,21902,100,FALSE,FALSE
WH2S,foreign,2,out_field,26,6,Unstated rationale,free_response,57099,123767,8,FALSE,FALSE
WH2S,foreign,2,out_field,26,7,Background knowledge,free_response,13976,30399,0,FALSE,FALSE
WH2S,foreign,2,out_field,26,8,Failure mode,free_response,24452,29352,0,FALSE,FALSE
